Tom's packing.,tom packing kuri ase
I want to come.,moi bhi ahivole mon ase
I want to help.,moi modot kurivole mon ase
I want to live.,moi bhi jinta thakivole mon
I want to play.,moi khilibbole mon ase
I want to quit.,moi chaari vole mon ase
I want to stay.,moi yaate thakivole mon ase
I want to talk.,moi bhi khota kovole mon ase
I want to walk.,moi bhi beraivole mon ase
I want to work.,moi bhi kaam kurivole mon ase
I wanted to go.,moi javole mon thakise
I was a member.,moi bhu ekjun maanu thakise
I was attacked.,moi ke mariise 
I was barefoot.,moi theng khaali thakise
I was bluffing.,moi misa koi thakise
I was captured.,moi ke thuri dise
I was careless.,moi thik bara thakania
I was cleaning.,moi sapha kuri thakise
I was detained.,moi ke rukhai dise
I was grateful.,moi toh kushi baise
I was hammered.,moi ke hammered hoise
I was impolite.,moi thik thaka nai
I was offended.,moi kushi baania
I was outdoors.,moi bahar thakise
I was pardoned.,moi ke pardoned kurise
I was so happy.,moi iman kushi thakise
I was speaking.,moi khota koi thakise
I was starving.,moi bhuuk laki thakise
I was studying.,moi buri thakise
I was thinking.,moi bhabi thakise
I was too fast.,moi bishi fast thakise
I was unharmed.,moi chokom banai
I was upstairs.,moi upstrairs thaakise
I was watching.,moi saai thakise
I wasn't drunk.,moi matha oethi na thaka nai
I wasn't hired.,moi oetha nai
I wear glasses.,moi glasses lakai
I went fishing.,moi fishing jaise
I will sue you.,moi tuike sue kurivo
I will survive.,moi namurivo
I will take it.,moi loi divo
I will testify.,moi koi divo
I wish I could.,moi kuribole barile bhaal
I won't forget.,moi napahori bo
I won't return.,moi wapas nahibo
I work for Tom.,moi tom karne kaam kure
I'd be careful.,moi careful thakivo
I'd be honored.,moi honored hoi javo
I'd rather die.,moi mura hi muri javo
I'd rather not.,moi nakura hi bhaal
I'll apologize.,moi maap mangivo
I'll ask later.,moi biche dey hudivo
I'll be around.,moi wapas ahi thakivo
I'll be direct.,moi sida sidi kovo
I'll be honest.,moi hosa khota kovo
I'll be inside.,moi bhidor dey thakivo
I'll call them.,moi maati savo
I'll cancel it.,moi nolobo
I'll come back.,moi wapas ahibo
I'll cooperate.,moi kuri savo
I'll do it now.,moi eitiya kuri divo
I'll get these.,moi eitu lobo
I'll go anyway.,moi javole hi ase
I'll go change.,moi change kuri savo
I'll go myself.,moi ekla javo
I'll guide you.,moi tuike raata dikhavo
I'll handle it.,moi thuri savo
I'll just wait.,moi eina rukhivo
I'll manage it.,moi kurilobo
I'll marry you.,moi tuike marry kurivo
I'll need that.,moi ke oedu lakivo
I'll need this.,moi ke eitu lakivo
I'll pay later.,moi biche dey divo
I'll pray hard.,moi mon dina pray kurivo
I'll risk that.,moi eitu toh risk kurivo
I'll scold him.,moi daike gaali divo
I'll see to it.,moi sai savo
I'll stay here.,moi yaate thakivo
I'll stay home.,moi ghor bhidor thakivo
I'll take over.,moi loi divo
I'll treat you.,moi tuike treat kurivo
I'll trust you.,moi tuike trust kurivo
I'll try again.,moi aaro gushish kurivo
I'll wait here.,moi yaate rukhivo
I'll work hard.,moi mon dina kaam kurivo
I'm a bit busy.,moi olob busy ase
I'm a diabetic.,moi diabetic manu ase
I'm a free man.,moi toh freee manu ase
I'm a good guy.,moi bhal manu ase
I'm a minister.,moi minister ase
I'm a musician.,moi toh musician ase
I'm a nice guy.,moi bhal mota ase
I'm a real man.,moi hosa mota ase
I'm a salesman.,moi toh salesman ase
I'm afraid not.,moi bhoikaha thak toh nahoi
I'm against it.,moi toh kushi napai
I'm all thumbs.,moi sob thumbs ase
I'm an old man.,moi bura manu ase
I'm astonished.,moi astonished hoise
I'm behind him.,moi taila biche ase
I'm being used.,moi ke use kuri ase
I'm contagious.,moi contagious ase
I'm dead tired.,moi murivo nisana duk baise
I'm dehydrated.,moi dehydrate hoise
I'm dependable.,moi manu ke bishi bhabe
I'm devastated.,moi duk baise
I'm doing fine.,moi thik ase
I'm doing well.,moi thik kuri ase
I'm downstairs.,moi nije dey ase
I'm eating now.,moi khai ase eitiya
I'm exercising.,moi exercise kuri ase
I'm farsighted.,moi durr la nathike
I'm fascinated.,moi fascinate hoise
I'm firing you.,moi tuike olai di ase
I'm free today.,moi ke eiku kaam nai achi
I'm from Kyoto.,moi kyoto bara ase
I'm from Tokyo.,moi tokyo bara ase
I'm going back.,moi wapas jai ase
I'm going bald.,moi chuli nathaka hoise
I'm happy here.,moi yaati kushi ase
"I'm happy, too.",moi bhi kushi bai ase
I'm having fun.,moi kushi bai ase
I'm hungry now.,moi bhuk laki ase
I'm illiterate.,moi kitab bura manu nahoi
I'm in the car.,moi gaari bithor ase
I'm interested.,moi interest ase
I'm just tired.,moi duk baise
I'm mad at you.,moi tuike gussa ase
I'm making tea.,moi chaaa bonai ase
I'm meditating.,moi meditate kuri ase
I'm methodical.,moi methodical ase
I'm no quitter.,moi najare
I'm not a fool.,moi dimag nathaka manu nahoi
I'm not a hero.,moi hero nahoi
I'm not a liar.,moi misa nakoi
I'm not amused.,moi kushi baa nai
I'm not asleep.,moi gomania
I'm not bitter.,moi bitter nahoi
I'm not cranky.,moi cranky nai
I'm not crying.,moi kaanta nahoi
I'm not guilty.,moi galti kura nai
I'm not insane.,moi pagla nahoi
I'm not joking.,moi khila nahoi
I'm not lonely.,moi ekla nahoi
I'm not normal.,moi normal nahoi
I'm not pretty.,moi sundurr nai
I'm not racist.,moi racist nai
I'm not scared.,moike bhoi nai
I'm not skinny.,moi patla nai
I'm not sleepy.,moi gomavo mon nai
I'm not strong.,moi ke taaqat nai
I'm old enough.,moi eitiya toh dangor hoise
I'm on holiday.,moi chuuti ase
I'm one of you.,moi tuikhan nisana ase
I'm optimistic.,moi hotai optimistic thake
I'm out of gas.,moi ke gas nai
I'm prejudiced.,moi prejudiced ase
I'm rather shy.,moi toh sorom wala ase
I'm really old.,moi ekdam bura ase
I'm reasonable.,moi reasonable ase
I'm remodeling.,moi remodel kuri ase
I'm right here.,moi yate ase
I'm so thirsty.,moi paani khavole mon ase
I'm so unlucky!,moi ke luck hi nai
I'm still busy.,moi eitiya bhi kaam ase
I'm still here.,moi yaati ase
I'm stuck here.,moi yaate bhasi na ase
I'm successful.,moi successful ase
I'm sure of it.,moi toh sure ase
I'm the killer.,moi bara muraise
I'm the oldest.,moi sobse dangor wala ase
I'm undressing.,moi kapra olai ase
I'm unemployed.,moi ke kaam nai
I'm untalented.,moi eiku napare
I'm used to it.,moi aadat hoise
I'm vegetarian.,moi vegetarian ase
I'm very happy.,moi ekdam kushi ase
I'm very short.,moi bishi khatta ase
I'm very sorry.,moi ekdam maaf
I'm very tired.,moi duk baina ase
I'm very upset.,moi ekdam mon biya baina ase
I'm wide awake.,moi oethina ase
I've been busy.,moi kaam thakise
I've done that.,moi eitu kurise
I've forgotten.,moi bahorise
