English,Nagamese
We're stuffed.,moi khan toh full ase
I don't follow.,moi follow nakure
He came by car.,tai car bara ahise
Tom's violent.,tom bishi khussa oethe
I'm illiterate.,moi kitab bura manu nahoi
I'm successful.,moi successful ase
I dislike eggs.,moi anda kushi napai
We're fasting.,moikhan fasting kuri ase
"A beer, please.","beer ekta ,morom bara"
We must focus.,moikhan focus kurivole lake
I study French.,moi fench bure
How's your job?,tuila kaam kina ase?
He lay face up.,tai face opor dey khomai
He walked away.,tai jai jaise
Give me a hint.,moike hint divi
We're not mad.,moikhan gussa dey nai
Drop me a line.,line chaRI DIVI
I'm astonished.,moi astonished hoise
I don't belong.,moi yaate la manu nahoi
Enter the room.,room bithor javi
I study Korean.,moi korean bure
"Calm down, son.","aste bara,bachha"
Watch closely.,osor bara savi
Don't be naive.,baccha nisana nathakibi
I had some fun.,moi olop toh fun kuri se
He bit his lip.,taila lips dey kamori sey
Cows eat grass.,guru gaas khai
You look sick.,tui bemaar dekhe
I will testify.,moi koi divo
I'm very short.,moi bishi khatta ase
I just guessed.,moi aine bhabi saala
I was grateful.,moi toh kushi baise
He's very open.,tai bishi ghulla ase
I'm still here.,moi yaati ase
How tall is he?,tai kiman lamb ase?
I was upstairs.,moi upstrairs thaakise
Can I go first?,moi first javo bariv?
I don't get it.,moi buji baanai
I'll see to it.,moi sai savo
I do apologize.,moi maaf mangi ase
I love bananas.,moi bananas kushi bai
You're famous.,tui toh famous ase
I thought hard.,moi bhabhise daan hobo
I love secrets.,moi secrets kushi bai
He's an outlaw.,tai outlaw asw
I live upstate.,moi upstairs dey thake
I already know.,moi jani thakise
We were there.,moi khan yaate thakise
He's an ex-con.,tai ex con ase
I didn't speak.,moi khota kwa nai
I'll cancel it.,moi nolobo
I raise cattle.,moi czttle ke sai
Can I sit here?,moi yaate buhivo barivo?
We can't fail.,moi khan fail nahvole lake
Don't be crazy.,pagla nahobi
He was patient.,tai patient thakise
You are wrong.,tui galti ase
Did I break it?,moi biya kurise?
You're grumpy.,tui grumpy ase
He asked me to.,tai bara kurivi koise
I want to stay.,moi yaate thakivole mon ase
He hated lying.,tai misa kwa kushi napai
"Hey, what's up?","hoi,ki kuri ase?"
Enjoy the show.,show enjoy kurivi
I serve no one.,moi kun ke bhi serve nakure
Do you read me?,tui moi ke bure?
I like jogging.,moi jogging kushi bai
What did I do?,moi ki kurise?
I like my life.,moi la life kushi bau
I'll pay later.,moi biche dey divo
We're sloshed.,moi khan sloshed hoise
Go take a walk.,cho beravi olop
We're jealous.,moi mon juli ase
He was panting.,tai painting kuri thakise
Don't show off.,bishi nadikhai vi
Are we friends?,moi khan saathi ase?
He works a lot.,tai bishi kaam kure
We've no time.,moi khan time nai
I hate my life.,moila life ke khin lake
We can try it.,moi aaro kushish kurivole barivo
I love sunsets.,moi sunsets kushi bai
We're ashamed.,moikhan ashamed ase
We're stunned.,moi khan toh rukhi jaise
Come back soon.,jolti ahivi
I'll get these.,moi eitu lobo
He lost a book.,tai kitab harai se
We're stalled.,moi khan toh stalled hoise
